Mon Sep 13 10:59:49 2021, 0, 1052, 5300, 6, 3630, 0, 7, 2550, 0, 4717.42, 1
Mon Sep 13 11:00:49 2021, 0, 1140, 5300, 6, 3630, 0, 7, 2550, 0, 4717.42, 1
Mon Sep 13 11:01:50 2021, 0, 1228, 5300, 6, 3630, 0, 7, 2400, 0, 4727.74, 1
Mon Sep 13 11:02:51 2021, 0, 1316, 5300, 6, 3630, 0, 7, 2325, 0, 4758.71, 1
Mon Sep 13 11:03:51 2021, 0, 1404, 5300, 6, 3630, 0, 7, 2325, 0, 4748.39, 1
Mon Sep 13 11:04:52 2021, 0, 1492, 5300, 6, 3630, 0, 7, 2175, 0, 4717.42, 1
Mon Sep 13 11:05:52 2021, 0, 1580, 5300, 6, 3630, 0, 7, 2100, 0, 4727.74, 1
Mon Sep 13 11:06:53 2021, 0, 1668, 5300, 6, 3630, 0, 7, 2100, 0, 4727.74, 1
Mon Sep 13 11:07:54 2021, 0, 1756, 5300, 6, 3630, 0, 7, 2025, 0, 4769.03, 1
Mon Sep 13 11:08:54 2021, 0, 1844, 5300, 6, 3630, 0, 7, 1800, 0, 4707.1, 1
Mon Sep 13 11:09:55 2021, 0, 1932, 5300, 6, 3630, 0, 7, 1950, 0, 4686.45, 1
Mon Sep 13 11:10:55 2021, 0, 2020, 5300, 6, 3630, 0, 7, 1725, 0, 4707.1, 1
Mon Sep 13 11:11:56 2021, 0, 2108, 5300, 6, 3630, 0, 7, 1650, 0, 4665.81, 1
Mon Sep 13 11:12:56 2021, 0, 2196, 5300, 6, 3630, 0, 7, 1575, 0, 4727.74, 1
Mon Sep 13 11:13:57 2021, 0, 2284, 5300, 6, 3630, 0, 7, 1575, 0, 4686.45, 1
Mon Sep 13 11:14:58 2021, 0, 2372, 5300, 6, 3630, 0, 7, 1425, 0, 4676.13, 1
Mon Sep 13 11:15:58 2021, 0, 2460, 5300, 6, 3630, 0, 7, 1350, 0, 4696.77, 1
Mon Sep 13 11:16:59 2021, 0, 2548, 5300, 6, 3630, 0, 7, 1275, 0, 4727.74, 1
Mon Sep 13 11:17:59 2021, 0, 2636, 5300, 6, 3630, 0, 7, 1200, 0, 4738.06, 1
Mon Sep 13 11:19:00 2021, 0, 2649, 800, 6, 3630, 0, 7, 1050, 0, 392.258, 1
Mon Sep 13 11:20:01 2021, 0, 2662, 800, 6, 3630, 0, 7, 1050, 0, 392.258, 1
Mon Sep 13 11:21:01 2021, 0, 2675, 800, 6, 3630, 0, 7, 1050, 0, 402.581, 1
Mon Sep 13 11:22:02 2021, 0, 2688, 800, 6, 3630, 0, 7, 975, 0, 392.258, 1
Mon Sep 13 11:23:02 2021, 0, 2701, 800, 6, 3630, 0, 7, 975, 0, 402.581, 1
Mon Sep 13 11:24:03 2021, 0, 2714, 800, 6, 3630, 0, 7, 975, 0, 402.581, 1
Mon Sep 13 11:25:04 2021, 0, 2727, 800, 6, 3630, 0, 7, 975, 0, 392.258, 1
Mon Sep 13 11:26:04 2021, 0, 2740, 800, 6, 3630, 0, 7, 975, 0, 402.581, 1
Mon Sep 13 11:27:05 2021, 0, 2753, 800, 6, 3630, 0, 7, 975, 0, 402.581, 1
Mon Sep 13 11:28:05 2021, 0, 2766, 800, 6, 3630, 0, 7, 975, 0, 402.581, 1
